ObjectID,GlobalID,Surface temperature,Surface type,Shade,Tree density,CreationDate,x,y
94,b981270e-f8b1-4526-8583-b53e48f34e0b,32.8,Turf grass,Partial shade,2,7/27/2026 15:18,-71.12022774,42.40703221
62,07e38119-96ca-4417-a7fa-554414b81641,32.6,Turf grass,Partial shade,1,7/27/2026 15:15,-71.12027834,42.40654247
271,18a0f7ec-ac76-4605-b8b4-074bf039f64a,32.6,Turf grass,No shade,3,7/27/2026 15:32,-71.11924703,42.40721585
299,f889f312-6d94-44fa-be8e-581cd4223bdd,32.6,Turf grass,No shade,0,7/27/2026 15:33,-71.11900984,42.40740375
116,622404aa-6520-4363-a09b-4bf25c3529d9,32.4,Turf grass,No shade,0,7/27/2026 15:20,-71.12059908,42.40673764
263,6532c1be-c04b-41b2-9801-10311c673b7e,32.3,Turf grass,No shade,1,7/27/2026 15:30,-71.12182398,42.40379787
159,e070fd79-99b7-4d86-915b-9830ee245601,32.1,Turf grass,No shade,1,7/27/2026 15:24,-71.11946022,42.40797889
278,8647b5c4-7e4f-4cc3-89ec-75581a5bcbfc,32.1,Impervious (dark-colored),Partial shade,3,7/27/2026 15:32,-71.12038408,42.40640721
66,ad2fffd3-0d59-4834-bf5d-452c43093fba,31.9,Turf grass,No shade,1,7/27/2026 15:15,-71.11960644,42.40632831
229,8a707d82-31bd-4f12-8258-9d0937ec1ead,31.9,Impervious (dark-colored),Partial shade,3,7/27/2026 15:28,-71.11912786,42.4076452
284,b5ccf80f-adfb-4222-8e7f-e1a453538ed9,31.8,Turf grass,No shade,1,7/27/2026 15:32,-71.11950308,42.40741743
282,8e4964e2-5c27-46d8-8983-3a5737917dfe,31.7,Turf grass,Partial shade,2,7/27/2026 15:32,-71.11983117,42.40699708
143,30044f0b-4957-4841-ac09-fc2e6d9fe0fe,31.6,Impervious (dark-colored),Partial shade,0,7/27/2026 15:23,-71.11907395,42.40722788
120,63215fc7-26cf-4cec-8048-b597390f999d,31.5,Impervious (light-colored),Partial shade,1,7/27/2026 15:20,-71.12091893,42.40498181
161,a109252d-e0b7-4f70-a93a-9b3daa697865,31.5,Turf grass,No shade,2,7/27/2026 15:24,-71.11959473,42.40802472
337,169e8e81-66b3-42f9-8369-c91e642ad4e7,31.4,Bare earth,No shade,1,7/27/2026 15:40,-71.12188885,42.40396926
186,c6546494-54ea-4200-bc2a-6736af80d7cf,31.3,Impervious (light-colored),Partial shade,1,7/27/2026 15:25,-71.12149408,42.40451121
31,abfde5ff-7d3e-4601-8c32-8a442bd5958e,31.2,Turf grass,No shade,0,7/27/2026 15:10,-71.11980901,42.40600281
280,97dc2045-38a2-4720-9264-c4358a6b10a0,30.9,Turf grass,No shade,1,7/27/2026 15:32,-71.12027183,42.40651713
77,9813db93-e7f6-4c43-ba02-937699bbddbb,30.6,Turf grass,Complete shade,2,7/27/2026 15:16,-71.12026217,42.40685618
100,e9630cfd-e005-4cd4-a1a3-e00dd5566e78,30.6,Impervious (light-colored),Partial shade,3,7/27/2026 15:19,-71.11945207,42.40683722
313,01f516fd-8c06-4610-afd4-2306971a59ed,30.4,Turf grass,No shade,2,7/27/2026 15:39,-71.11979017,42.40601831
227,4c61e4d6-a76a-4447-98ef-4c5c4b5cc985,30.3,Bare earth,No shade,0,7/27/2026 15:28,-71.11956021,42.40731233
240,d3a094dc-66fa-4956-b1bc-94bd66dfb2e9,30.2,Turf grass,No shade,2,7/27/2026 15:28,-71.12192879,42.40401384
241,0dc58faf-839f-4730-a287-410ccdd4da6a,30.2,Bare earth,Partial shade,2,7/27/2026 15:29,-71.11893517,42.40855584
44,4fd97807-5003-416f-9076-455f74485f5a,30.1,Impervious (dark-colored),Complete shade,0,7/27/2026 15:14,-71.12040685,42.40641593
113,ea698f82-ea3e-4e6b-9b24-b2e6d986566e,29.9,Impervious (dark-colored),Partial shade,2,7/27/2026 15:20,-71.11989551,42.40733918
142,5b583aae-2df8-4fe2-84b8-f1ab64275ca8,29.8,Turf grass,No shade,0,7/27/2026 15:23,-71.11917579,42.4073925
160,f808bfd3-6dc9-44a7-be75-5db33280a4bd,29.7,Impervious (light-colored),Complete shade,2,7/27/2026 15:24,-71.12151916,42.40455449
206,67ab3a27-6a46-4825-842a-5b535e0c163f,29.6,Bare earth,Partial shade,0,7/27/2026 15:27,-71.11890446,42.40804476
99,e1230563-3b2e-4173-8aaf-62f03a2f6b56,29.3,Turf grass,Partial shade,0,7/27/2026 15:19,-71.12018303,42.40708611
